NAME,ISACTIVE,ISDEFAULT,MONDAYSTARTTIME,MONDAYENDTIME,TUESDAYSTARTTIME,TUESDAYENDTIME,WEDNESDAYSTARTTIME,WEDNESDAYENDTIME,THURSDAYSTARTTIME,THURSDAYENDTIME,FRIDAYSTARTTIME,FRIDAYENDTIME,TIMEZONESIDKEY
GMT+04:30  Afghanistan Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Kabul 
GMT+04:00  Gulf Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Dubai 
GMT+04:00  Georgia Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Tbilisi 
GMT+04:00  Moscow Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Moscow 
GMT+03:30  Iran Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Tehran 
GMT+03:00  East Africa Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Africa/Nairobi 
GMT+03:00  Arabian Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Baghdad 
GMT+03:00  Arabian Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Kuwait 
GMT+03:00  Arabian Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Riyadh 
GMT+03:00  Further-eastern European Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Minsk 
GMT+02:00  Eastern European Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Africa/Cairo 
GMT+02:00  South Africa Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Africa/Johannesburg 
